,title,subtitle,link
0,ALL GUNS BLAZING,Wolves vs Arsenal descends into huge full-time brawl as Gabriel Jesus shoves rival and Calafiori drags him away,https://www.thesun.co.uk/sport/38267572/wolves-arsenal-gabriel-jesus-arteta/
1,WOLVES 2 ARSENAL 2,Gunners suffer huge title race blow after David Raya howler,https://www.thesun.co.uk/sport/38267034/wolves-arsenal-premier-league-saka-title/
2,ARSENAL VERDICT,Gunners' bedrock defence crumble when it matters most,https://www.thesun.co.uk/sport/38267936/arsenal-man-city-wolves-premier-league/
3,TOOK THE MIK,Devastated Mikel Arteta blasts his own players after catastrophic Wolves draw,https://www.thesun.co.uk/sport/38267977/mikel-arteta-blasts-arsenal-wolves-draw/
